WGS84경도,WGS84위도
33.16738385,126.2741066954991
33.2530692,126.5562384
33.2882359,126.7462213
33.3068231,126.1784493
33.3070329,126.8061387
33.3962368,126.2434578
33.4533892,126.3909059
33.5198382,126.5423388
33.5568416,126.757517
33.98659895,126.9231628220999
34.2385733,126.0488775
34.23887525,125.93966544883229
34.336547,126.9876463
34.4144575,126.8073084
34.5015914,126.79869
34.508964,127.4609283
34.5178976,127.1330513
34.5694003,126.30157
34.5736499,127.1900994
34.6393033,127.7787
34.6470552,126.6649422
34.67704,127.26204
34.6989828,126.5715101
34.7222599,126.8171905
34.72319,127.02226
34.7264086,127.7167008
34.7327368,128.6305047
34.7337788,126.9121127
34.7364077,126.9774491
34.7430569,127.9624895
34.7487307,126.7993269
34.7554284,126.5839587
34.75895985,127.65601176123728
34.7638535,126.4712773
34.7741452,126.3203732
34.7792893,127.6488174
34.7982582,127.0711279
34.7994632,127.9550528
34.8014287,126.8355792
34.8179867,126.6963702
34.8298747,128.703367
34.8310422,127.3450042
34.8399881,128.5080102
34.8522936,126.646339
34.8554603,127.814007
34.8570901,128.0163271
34.8612288,126.2869211
34.8643432,126.7475914
34.870435,127.1863318
34.87591,126.9712218
34.8873916,128.4881423
34.903,128.36064
34.9094789,127.9171123
34.9105398,126.8726394
34.91956,128.5261034
34.920464,126.7480351
34.9241557,126.5001343
34.927981,128.0707304
34.9283039,127.171523
34.9346506,127.2786981
34.9352616,127.8763749
34.935342399999996,126.56417670305083
34.9434989,126.826246
34.9441332,128.1954937
34.9443314,128.1028791
34.9514339,128.251677
34.9696289,127.4027236
34.9777312,127.7587894
35.0102293,126.5143612
35.0199049,127.5793065
35.0208125,127.8177959
35.0499654,128.2642973
35.0503008,127.8390629
35.0543259,126.9729557
35.0546012,128.3391766
35.0725633,129.0718921
35.0816989,127.7787376
35.084287,128.186996
35.084532,129.0693009
35.0850514,128.977502
35.0889439,128.3347599
35.09035,129.04789
35.09035,129.04789
35.0920309,129.0525807
35.093747,129.009859
35.09625,126.82558
35.0965558,127.3861814
35.0993734,128.9814909
35.1006216,128.9950732
35.1013273,128.0614913
35.1029412,128.2507266
35.1036467,128.9758473
35.1054713,127.8419566
35.1094098,128.9654868
35.1096,129.01228
35.1105568,129.009749
35.1124885,128.7481672
35.1131102,129.1131021
35.1158567,129.0174278
35.1166483,127.2996943
35.1169907,129.1161453
35.1203339,128.4946044
35.1225241,129.1096148
35.1246176,127.6913864
35.12996975,129.0929554
35.134071399999996,129.09545482424528
35.1349941,129.0733189
35.1356153,129.0556928
35.1357686,129.0518979
35.1428605,129.1138744
35.1444108,128.092975
35.1445891,126.9013213
35.1447551,129.0665703
35.1468151,129.1102156
35.1468151,129.1102156
35.1468151,129.1102156
35.149355,126.91458114540822
35.1509,129.0007387
35.1515522,128.9780342
35.1531478,126.4962149
35.1626097,129.1640343
35.1628685,129.1581133
35.1635196,129.1564704
35.166971000000004,129.17724090118344
35.1670349,127.1330864
35.1672768,129.1192808
35.168352049999996,129.16713084999998
35.1692351,128.6562496
35.1812888,129.1067309
35.1818,129.06893
35.1820915,128.9813976
35.1842967,127.4336333
35.1851651,129.0768666
35.1882082,128.2253391
35.1908663,128.9892361
35.1910166,129.1238447
35.1911721,129.078746
35.19124,128.27218
35.1947288,129.0664093
35.1949342,128.0836789
35.1971032,129.1090745
35.1992012,129.0575088
35.2016796,128.9951996
35.2017446,129.1343253
35.2032183,129.0855354
35.2051017,128.5612571
35.2053461,129.1032982
35.2060243,128.332747
35.2081402,129.1025188
35.2083022,129.0004367
35.2123233,126.5066547
35.213092,129.0739875
35.2176086,128.0331725
35.23121475,128.87029580651506
